단어,발음,뜻
はれど(も),하레도(모),"그렇지만, 하지만"
しかし,시카시,"그러나, 하지만"
すると,스루토,"그러자, 그러면"
そこで,소코데,그래서
それから,소레카라,"그리고, 그러고 나서"
こうして,코우시테,"이렇게, 이와 같이"
じゃ(あ),쟈(아),그럼
そうして,소우시테,"그리고, 그러고 나서"
そうして,소우시테,그리고
それで,소레데,그래서
それでわ,소레데와,그럼
それなら,소레나라,그렇다면
だから&ですから,다카라&데스카라,그래서
たとえば,타토에바,예를 들면
でわ,데와,그럼
またわ,마타와,"또는, 혹은"
それとも,소레토모,그렇지 않으면
それに,소레니,게다가
だが,다가,하지만
でも,데모,"그래도, 하지만"
なぜなら,나제나라,왜냐하면
잇しょ켄めい,잇쇼켄메이,열심히(여기부터부사입니당!!)
킷と,킷토,"꼭, 분명"
싯かり,싯카리,"꽉, 단단히"
슷かり,슷카리,"죄다, 완전히"
ぜひ,제히,꼭
かならず,카나라즈,"꼭, 반드시"
켓して,켓시테,결코
ずい분,즈이분,"상당히, 꽤"
즛と,즛토,쭉
젠젠,젠젠,전혀
だいたい,다이타이,"대개, 대체로"
そろそろ,소로소로,슬슬
どうぞ,도우조,"부디, 아무쪼록, ~하세요"
どうも,도우모,"참으로, 좋아요, 고마워요"
とくに,토쿠니,특히
なるほど,나루호도,과연
난でも,난데모,무엇이든
はやく,하야쿠,일찍
ほ톤ど,호톤도,거의
まさか,마사카,설마
なかなか,나카나카,"좀처럼(부정), 상당히(긍정)"
なにも,나니모,아무것도
핫きり,핫키리,분명하게
ひじょうに,히죠우니,"상당히, 매우"
혼とうに,혼토우니,정말로
まず,마즈,먼저
また,마타,또
맛すぐ,맛스구,"곧바로, 쭉"
もうすぐ,모우스구,이제 곧
못と,못토,좀 더
얏と,얏토,"겨우, 가까스로"
윳くり,윳쿠리,천천히
まだ,마다,아직
もう,모우,"이미, 벌써, 더"
もし,모시,만약
못とも,못토모,가장
はやり&얏ぱり,하야리&얏파리,역시
よく,요쿠,"자주, 종종"
~か,~카,"~인가, ~인지, ~이나(여기부터 조사입니당!!!!)"
~か~ないか,~카~나이카,~할지 ~하지 않을지
~が,~가,~이(가)
~から,~카라,"~하기 때문에, ~으로, ~로부터"
~ぐらい,~구라이,"~정도, ~쯤"
~けれど(も)&~けど,~케레도(모)&~케도,"~하지만, ~할 텐데"
~しか,~시카,~밖에
~だけ,~다케,"~만, ~뿐"
~で,~데,"~으로, ~때문에"
~でも,~데모,~(이)라도
~と,~토,~와(과)
~と&~ㅅて,~토&~ㅅ테,~라고
~と いう&~ㅅて いう,~토 이우&~ㅅ테 이우,"~라고 말하다, ~라는"
~とか,~토카,"~이나, ~든지"
~な,~나,~지 마라
~に,~니,"~에, ~에게"
~の,~노,"~것, ~거야?"
~ので,~노데,"~이므로, ~하기 때문에"
~のに,~노니,"~인데도, ~하는 데에"
~は,~하,~은(는)
~ばかり,~바카리,"~만, ~뿐"
~までに,~마데니,~까지
~も,~모,"~도, ~이나 (세 시간이나 등)"
~も~も,~모~모,~도~도
~を,~워,~을(를)
